PIN DELAY,
REFDES BGA,
DEVICE BGA,
,
P5,0.0427 ns
P50,0.04654 ns
R1,0.0569 ns
R3,0.03595 ns
R4,0.03493 ns
R46,0.03951 ns
R47,0.03493 ns
R48,0.03595 ns
R5,0.03951 ns
R50,0.0569 ns
U1,0.04179 ns
U3,0.04311 ns
U45,0.06597 ns
U46,0.06932 ns
U48,0.04311 ns
U5,0.06932 ns
U50,0.04179 ns
U6,0.06597 ns
V1,0.04154 ns
V3,0.0428 ns
V46,0.06761 ns
V48,0.0428 ns
V5,0.06761 ns
V50,0.04154 ns
Y1,0.04563 ns
Y2,0.04414 ns
Y25,0.00918 ns
Y26,0.00917 ns
Y3,0.04822 ns
Y45,0.06749 ns
Y46,0.0632 ns
Y48,0.04822 ns
Y49,0.04414 ns
Y5,0.0632 ns
Y50,0.04563 ns
Y6,0.06754 ns
